received,host,jitter,packet_loss,avgping,minping,time,sent,maxping
0,192.168.123.2,NaN,100,NaN,NaN,19:0:49,1,NaN
0,192.168.123.2,NaN,100,NaN,NaN,19:1:0,1,NaN
0,192.168.123.2,NaN,100,NaN,NaN,19:1:11,1,NaN
0,192.168.123.2,NaN,100,NaN,NaN,19:1:22,1,NaN
0,192.168.123.2,NaN,100,NaN,NaN,19:1:33,1,NaN
0,192.168.123.2,NaN,100,NaN,NaN,19:1:44,1,NaN
1,192.168.123.2,0.000,0,26.151,26.151,19:3:19,1,26.151
1,192.168.123.2,0.000,0,0.052,0.052,19:3:20,1,0.052
1,192.168.123.2,0.000,0,0.050,0.050,19:3:21,1,0.050
1,192.168.123.2,0.000,0,0.053,0.053,19:3:22,1,0.053
1,192.168.123.2,0.000,0,0.107,0.107,19:3:23,1,0.107
1,192.168.123.2,0.000,0,0.061,0.061,19:3:24,1,0.061
1,192.168.123.2,0.000,0,0.057,0.057,19:3:26,1,0.057
1,192.168.123.2,0.000,0,0.062,0.062,19:3:27,1,0.062
1,192.168.123.2,0.000,0,0.053,0.053,19:3:28,1,0.053
1,192.168.123.2,0.000,0,0.049,0.049,19:3:29,1,0.049
1,192.168.123.2,0.000,0,0.093,0.093,19:3:30,1,0.093
1,192.168.123.2,0.000,0,0.057,0.057,19:3:31,1,0.057
1,192.168.123.2,0.000,0,0.068,0.068,19:3:32,1,0.068
1,192.168.123.2,0.000,0,0.049,0.049,19:3:33,1,0.049
1,192.168.123.2,0.000,0,0.176,0.176,19:3:34,1,0.176
1,192.168.123.2,0.000,0,0.055,0.055,19:3:35,1,0.055
1,192.168.123.2,0.000,0,0.051,0.051,19:3:36,1,0.051
1,192.168.123.2,0.000,0,0.050,0.050,19:3:37,1,0.050
1,192.168.123.2,0.000,0,0.059,0.059,19:3:38,1,0.059
1,192.168.123.2,0.000,0,0.098,0.098,19:3:39,1,0.098
1,192.168.123.2,0.000,0,0.056,0.056,19:3:40,1,0.056
1,192.168.123.2,0.000,0,0.061,0.061,19:3:41,1,0.061
1,192.168.123.2,0.000,0,0.059,0.059,19:3:42,1,0.059
1,192.168.123.2,0.000,0,0.061,0.061,19:3:43,1,0.061
1,192.168.123.2,0.000,0,0.051,0.051,19:3:44,1,0.051
1,192.168.123.2,0.000,0,0.076,0.076,19:3:45,1,0.076
1,192.168.123.2,0.000,0,0.058,0.058,19:3:46,1,0.058
1,192.168.123.2,0.000,0,0.079,0.079,19:3:47,1,0.079
1,192.168.123.2,0.000,0,0.055,0.055,19:3:48,1,0.055
1,192.168.123.2,0.000,0,0.054,0.054,19:3:49,1,0.054
1,192.168.123.2,0.000,0,0.058,0.058,19:3:50,1,0.058
1,192.168.123.2,0.000,0,0.076,0.076,19:3:51,1,0.076
1,192.168.123.2,0.000,0,0.078,0.078,19:3:52,1,0.078
1,192.168.123.2,0.000,0,0.080,0.080,19:3:53,1,0.080
1,192.168.123.2,0.000,0,0.059,0.059,19:3:54,1,0.059
1,192.168.123.2,0.000,0,0.054,0.054,19:3:55,1,0.054
1,192.168.123.2,0.000,0,0.049,0.049,19:3:56,1,0.049
1,192.168.123.2,0.000,0,0.052,0.052,19:3:57,1,0.052
1,192.168.123.2,0.000,0,0.053,0.053,19:3:58,1,0.053
1,192.168.123.2,0.000,0,0.050,0.050,19:3:59,1,0.050
1,192.168.123.2,0.000,0,0.052,0.052,19:4:0,1,0.052
1,192.168.123.2,0.000,0,0.050,0.050,19:4:1,1,0.050
1,192.168.123.2,0.000,0,0.081,0.081,19:4:2,1,0.081
1,192.168.123.2,0.000,0,0.078,0.078,19:4:3,1,0.078
1,192.168.123.2,0.000,0,0.120,0.120,19:4:4,1,0.120
1,192.168.123.2,0.000,0,0.052,0.052,19:4:5,1,0.052
1,192.168.123.2,0.000,0,0.051,0.051,19:4:6,1,0.051
1,192.168.123.2,0.000,0,0.060,0.060,19:4:7,1,0.060
1,192.168.123.2,0.000,0,0.051,0.051,19:4:8,1,0.051
1,192.168.123.2,0.000,0,0.052,0.052,19:4:9,1,0.052
1,192.168.123.2,0.000,0,0.078,0.078,19:4:10,1,0.078
1,192.168.123.2,0.000,0,0.052,0.052,19:4:11,1,0.052
1,192.168.123.2,0.000,0,0.061,0.061,19:4:12,1,0.061
1,192.168.123.2,0.000,0,0.081,0.081,19:4:13,1,0.081
1,192.168.123.2,0.000,0,0.059,0.059,19:4:14,1,0.059
1,192.168.123.2,0.000,0,0.054,0.054,19:4:15,1,0.054
1,192.168.123.2,0.000,0,0.053,0.053,19:4:16,1,0.053
1,192.168.123.2,0.000,0,0.054,0.054,19:4:17,1,0.054
1,192.168.123.2,0.000,0,0.087,0.087,19:4:18,1,0.087
1,192.168.123.2,0.000,0,0.075,0.075,19:4:19,1,0.075
1,192.168.123.2,0.000,0,0.054,0.054,19:4:20,1,0.054
1,192.168.123.2,0.000,0,0.079,0.079,19:4:21,1,0.079
1,192.168.123.2,0.000,0,0.063,0.063,19:4:22,1,0.063
1,192.168.123.2,0.000,0,0.061,0.061,19:4:23,1,0.061
1,192.168.123.2,0.000,0,0.049,0.049,19:4:24,1,0.049
1,192.168.123.2,0.000,0,0.064,0.064,19:4:25,1,0.064
1,192.168.123.2,0.000,0,0.053,0.053,19:4:26,1,0.053
1,192.168.123.2,0.000,0,0.094,0.094,19:4:27,1,0.094
1,192.168.123.2,0.000,0,0.058,0.058,19:4:28,1,0.058
1,192.168.123.2,0.000,0,0.051,0.051,19:4:29,1,0.051
1,192.168.123.2,0.000,0,0.073,0.073,19:4:30,1,0.073
1,192.168.123.2,0.000,0,0.064,0.064,19:4:31,1,0.064
1,192.168.123.2,0.000,0,0.059,0.059,19:4:32,1,0.059
1,192.168.123.2,0.000,0,0.049,0.049,19:4:33,1,0.049
1,192.168.123.2,0.000,0,0.065,0.065,19:4:34,1,0.065
1,192.168.123.2,0.000,0,0.056,0.056,19:4:35,1,0.056
1,192.168.123.2,0.000,0,0.061,0.061,19:4:36,1,0.061
1,192.168.123.2,0.000,0,0.057,0.057,19:4:37,1,0.057
1,192.168.123.2,0.000,0,0.053,0.053,19:4:38,1,0.053
1,192.168.123.2,0.000,0,0.054,0.054,19:4:39,1,0.054
1,192.168.123.2,0.000,0,0.058,0.058,19:4:41,1,0.058
1,192.168.123.2,0.000,0,0.049,0.049,19:4:42,1,0.049
1,192.168.123.2,0.000,0,0.080,0.080,19:4:43,1,0.080
1,192.168.123.2,0.000,0,0.051,0.051,19:4:44,1,0.051
1,192.168.123.2,0.000,0,0.072,0.072,19:4:45,1,0.072
1,192.168.123.2,0.000,0,0.058,0.058,19:4:46,1,0.058
1,192.168.123.2,0.000,0,0.057,0.057,19:4:47,1,0.057
1,192.168.123.2,0.000,0,0.107,0.107,19:4:48,1,0.107
1,192.168.123.2,0.000,0,0.052,0.052,19:4:49,1,0.052
1,192.168.123.2,0.000,0,0.054,0.054,19:4:50,1,0.054
1,192.168.123.2,0.000,0,0.068,0.068,19:4:51,1,0.068
1,192.168.123.2,0.000,0,0.051,0.051,19:4:52,1,0.051
1,192.168.123.2,0.000,0,0.064,0.064,19:4:53,1,0.064
1,192.168.123.2,0.000,0,0.054,0.054,19:4:54,1,0.054
1,192.168.123.2,0.000,0,0.084,0.084,19:4:55,1,0.084
1,192.168.123.2,0.000,0,0.076,0.076,19:4:56,1,0.076
1,192.168.123.2,0.000,0,0.055,0.055,19:4:57,1,0.055
1,192.168.123.2,0.000,0,0.076,0.076,19:4:58,1,0.076
1,192.168.123.2,0.000,0,0.049,0.049,19:4:59,1,0.049
1,192.168.123.2,0.000,0,0.054,0.054,19:5:0,1,0.054
1,192.168.123.2,0.000,0,0.056,0.056,19:5:1,1,0.056
1,192.168.123.2,0.000,0,0.058,0.058,19:5:2,1,0.058
1,192.168.123.2,0.000,0,0.051,0.051,19:5:3,1,0.051
1,192.168.123.2,0.000,0,0.050,0.050,19:5:4,1,0.050
1,192.168.123.2,0.000,0,0.075,0.075,19:5:5,1,0.075
1,192.168.123.2,0.000,0,0.050,0.050,19:5:6,1,0.050
1,192.168.123.2,0.000,0,0.049,0.049,19:5:7,1,0.049
1,192.168.123.2,0.000,0,0.060,0.060,19:5:8,1,0.060
1,192.168.123.2,0.000,0,0.054,0.054,19:5:9,1,0.054
1,192.168.123.2,0.000,0,0.051,0.051,19:5:10,1,0.051
1,192.168.123.2,0.000,0,0.068,0.068,19:5:11,1,0.068
1,192.168.123.2,0.000,0,0.053,0.053,19:5:12,1,0.053
1,192.168.123.2,0.000,0,0.051,0.051,19:5:13,1,0.051
1,192.168.123.2,0.000,0,0.054,0.054,19:5:14,1,0.054
1,192.168.123.2,0.000,0,0.067,0.067,19:5:15,1,0.067
1,192.168.123.2,0.000,0,0.049,0.049,19:5:16,1,0.049
1,192.168.123.2,0.000,0,0.077,0.077,19:5:17,1,0.077
1,192.168.123.2,0.000,0,0.063,0.063,19:5:18,1,0.063
1,192.168.123.2,0.000,0,0.053,0.053,19:5:19,1,0.053
1,192.168.123.2,0.000,0,0.074,0.074,19:5:20,1,0.074
1,192.168.123.2,0.000,0,0.054,0.054,19:5:21,1,0.054
1,192.168.123.2,0.000,0,0.053,0.053,19:5:22,1,0.053
1,192.168.123.2,0.000,0,0.079,0.079,19:5:23,1,0.079
1,192.168.123.2,0.000,0,0.051,0.051,19:5:24,1,0.051
1,192.168.123.2,0.000,0,0.076,0.076,19:5:25,1,0.076
1,192.168.123.2,0.000,0,0.073,0.073,19:5:26,1,0.073
1,192.168.123.2,0.000,0,0.078,0.078,19:5:27,1,0.078
1,192.168.123.2,0.000,0,0.051,0.051,19:5:28,1,0.051
1,192.168.123.2,0.000,0,0.063,0.063,19:5:29,1,0.063
1,192.168.123.2,0.000,0,0.053,0.053,19:5:30,1,0.053
1,192.168.123.2,0.000,0,0.049,0.049,19:5:31,1,0.049
1,192.168.123.2,0.000,0,0.059,0.059,19:5:32,1,0.059
1,192.168.123.2,0.000,0,0.050,0.050,19:5:33,1,0.050
1,192.168.123.2,0.000,0,0.065,0.065,19:5:34,1,0.065
1,192.168.123.2,0.000,0,0.049,0.049,19:5:35,1,0.049
1,192.168.123.2,0.000,0,0.049,0.049,19:5:36,1,0.049
1,192.168.123.2,0.000,0,0.054,0.054,19:5:37,1,0.054
1,192.168.123.2,0.000,0,0.048,0.048,19:5:38,1,0.048
1,192.168.123.2,0.000,0,0.054,0.054,19:5:39,1,0.054
